building_chain	level	active_slot_count
#campaign_building_chain_slot_unlocks_tables;1;db/campaign_building_chain_slot_unlocks_tables/zzz_active_slots		
phar_main_major_main_building	1	5
phar_main_major_main_building	2	5
phar_main_major_main_building	3	5
phar_main_major_main_building	4	6
phar_main_major_main_building	5	7
phar_main_major_main_building_fenkhu	1	5
phar_main_major_main_building_fenkhu	2	5
phar_main_major_main_building_fenkhu	3	5
phar_main_major_main_building_fenkhu	4	6
phar_main_major_main_building_fenkhu	5	7
phar_main_major_main_building_highlands	1	5
phar_main_major_main_building_highlands	2	5
phar_main_major_main_building_highlands	3	5
phar_main_major_main_building_highlands	4	6
phar_main_major_main_building_highlands	5	7
phar_main_major_main_building_isuwa	1	5
phar_main_major_main_building_isuwa	2	5
phar_main_major_main_building_isuwa	3	5
phar_main_major_main_building_isuwa	4	6
phar_main_major_main_building_isuwa	5	7
phar_main_major_main_building_kush	1	5
phar_main_major_main_building_kush	2	5
phar_main_major_main_building_kush	3	5
phar_main_major_main_building_kush	4	6
phar_main_major_main_building_kush	5	7
phar_main_major_main_building_lower_egypt	1	5
phar_main_major_main_building_lower_egypt	2	5
phar_main_major_main_building_lower_egypt	3	5
phar_main_major_main_building_lower_egypt	4	6
phar_main_major_main_building_lower_egypt	5	7
phar_main_major_main_building_lower_egypt_pi_ramesses	1	7
phar_main_major_main_building_lower_egypt_pi_ramesses	2	7
phar_main_major_main_building_lower_egypt_pi_ramesses	3	7
phar_main_major_main_building_lower_egypt_pi_ramesses	4	8
phar_main_major_main_building_lower_egypt_pi_ramesses	5	9
phar_main_major_main_building_lowlands	1	5
phar_main_major_main_building_lowlands	2	5
phar_main_major_main_building_lowlands	3	5
phar_main_major_main_building_lowlands	4	6
phar_main_major_main_building_lowlands	5	7
phar_main_major_main_building_nubia	1	5
phar_main_major_main_building_nubia	2	5
phar_main_major_main_building_nubia	3	5
phar_main_major_main_building_nubia	4	6
phar_main_major_main_building_nubia	5	7
phar_main_major_main_building_retjennu	1	5
phar_main_major_main_building_retjennu	2	5
phar_main_major_main_building_retjennu	3	5
phar_main_major_main_building_retjennu	4	6
phar_main_major_main_building_retjennu	5	7
phar_main_major_main_building_sinai	1	5
