agent_key	skill_rank	optional_campaign_key	for_army	for_navy	experience_threshold	skill_points
#character_experience_skill_tiers_tables;2;db/character_experience_skill_tiers_tables/zzz_general_tiers_list						
general	1		false	false	1025	1
general	2		false	false	1650	1
general	4		false	false	3000	1
general	5		false	false	3750	1
general	6		false	false	4550	1
general	7		false	false	5400	1
general	8		false	false	6300	1
general	9		false	false	7250	1
general	10		false	false	8750	1
general	11		false	false	10350	1
general	12		false	false	12050	1
general	13		false	false	13850	1
general	14		false	false	15750	1
general	15		false	false	17750	1
general	16		false	false	19850	1
general	17		false	false	22050	1
general	18		false	false	24350	1
general	19		false	false	26750	1
general	20		false	false	30250	1
general	21		false	false	33900	1
general	22		false	false	37700	1
general	23		false	false	41650	1
general	24		false	false	45750	1
general	25		false	false	50000	1
general	26		false	false	54400	1
general	27		false	false	58950	1
general	28		false	false	63650	1
general	29		false	false	68500	1
general	30		false	false	75000	1
general	31		false	false	81700	1
general	32		false	false	88600	1
general	33		false	false	95700	1
general	34		false	false	103000	1
general	35		false	false	110500	1
general	36		false	false	118200	1
general	37		false	false	126100	1
general	38		false	false	134200	1
general	39		false	false	142500	1
general	40		false	false	153000	1
general	41		false	false	163750	1
general	42		false	false	174750	1
general	43		false	false	186000	1
general	44		false	false	197500	1
general	45		false	false	209250	1
general	46		false	false	221250	1
general	47		false	false	233500	1
general	48		false	false	246000	1
general	49		false	false	258750	1
